x_mm,y_mm,temperature_c
-1100.000000,-500.000000,20.000000
-1098.581360,-500.000000,20.000000
-1096.581360,-500.000000,20.000000
-1094.581360,-500.000000,20.000000
-1073.581360,-500.000000,20.000000
-1071.581360,-500.000000,20.000000
-1069.581360,-500.000000,20.000000
-1048.581360,-500.000000,20.000000
-1046.581360,-500.000000,20.000000
-1044.581360,-500.000000,20.000000
-1023.581360,-500.000000,20.000000
-1021.581360,-500.000000,20.000000
-1019.581360,-500.000000,20.000000
-998.581360,-500.000000,20.000000
-996.581360,-500.000000,20.000000
-994.581360,-500.000000,20.000000
-973.581360,-500.000000,20.000000
-971.581360,-500.000000,20.000000
-969.581360,-500.000000,20.000000
-948.581360,-500.000000,20.000000
-946.581360,-500.000000,20.000000
-944.581360,-500.000000,20.000000
-923.581360,-500.000000,20.000000
-921.581360,-500.000000,20.000000
-919.581360,-500.000000,20.000000
-898.581360,-500.000000,20.000000
-896.581360,-500.000000,20.000000
-894.581360,-500.000000,20.000000
-873.581360,-500.000000,20.000000
-871.581360,-500.000000,20.000000
-869.581360,-500.000000,20.000000
-848.581360,-500.000000,20.000000
-846.581360,-500.000000,20.000000
-844.581360,-500.000000,20.000000
-823.581360,-500.000000,20.000000
-821.581360,-500.000000,20.000000
-819.581360,-500.000000,20.000000
-798.581360,-500.000000,20.000000
-796.581360,-500.000000,20.000000
-794.581360,-500.000000,20.000000
-773.581360,-500.000000,20.000000
-771.581360,-500.000000,20.000000
-769.581360,-500.000000,20.000000
-748.581360,-500.000000,20.000000
-746.581360,-500.000000,20.000000
-744.581360,-500.000000,20.000000
-723.581360,-500.000000,20.000000
-721.581360,-500.000000,20.000000
-719.581360,-500.000000,20.000000
-698.581360,-500.000000,20.000000
-696.581360,-500.000000,20.000000
-694.581360,-500.000000,20.000000
-673.581360,-500.000000,20.000000
-671.581360,-500.000000,20.000000
-669.581360,-500.000000,20.000000
-648.581360,-500.000000,20.000000
-646.581360,-500.000000,20.000000
-644.581360,-500.000000,20.000000
-623.581360,-500.000000,20.000000
-621.581360,-500.000000,20.000000
-619.581360,-500.000000,20.000000
-598.581360,-500.000000,20.000000
-596.581360,-500.000000,20.000000
-594.581360,-500.000000,20.000000
-573.581360,-500.000000,20.000000
-571.581360,-500.000000,20.000000
-569.581360,-500.000000,20.000000
-548.581360,-500.000000,20.000000
-546.581360,-500.000000,20.000000
-544.581360,-500.000000,20.000000
-523.581360,-500.000000,20.000000
-521.581360,-500.000000,20.000000
-519.581360,-500.000000,20.000000
-498.581360,-500.000000,20.000000
-496.581360,-500.000000,20.000000
-494.581360,-500.000000,20.000000
-473.581360,-500.000000,20.000000
-471.581360,-500.000000,20.000000
-469.581360,-500.000000,20.000000
-448.581360,-500.000000,20.000000
-446.581360,-500.000000,20.000000
-444.581360,-500.000000,20.000000
-423.581360,-500.000000,20.000000
-421.581360,-500.000000,20.000000
-419.581360,-500.000000,20.000000
-398.581360,-500.000000,20.000000
-396.581360,-500.000000,20.000000
-394.581360,-500.000000,20.000000
-373.581360,-500.000000,20.000000
-371.581360,-500.000000,20.000000
-369.581360,-500.000000,20.000000
-348.581360,-500.000000,20.000000
-346.581360,-500.000000,20.000000
-344.581360,-500.000000,20.000000
-323.581360,-500.000000,20.000000
-321.581360,-500.000000,20.000000
-319.581360,-500.000000,20.000000
-298.581360,-500.000000,20.000000
-296.581360,-500.000000,20.000000
-294.581360,-500.000000,20.000000
-273.581360,-500.000000,20.000000
-271.581360,-500.000000,20.000000
-269.581360,-500.000000,20.000000
-248.581360,-500.000000,20.000000
-246.581360,-500.000000,20.000000
-244.581360,-500.000000,20.000000
-223.581360,-500.000000,20.000000
-221.581360,-500.000000,20.000000
-219.581360,-500.000000,20.000000
-198.581360,-500.000000,20.000000
-196.581360,-500.000000,20.000000
-194.581360,-500.000000,20.000000
-173.581360,-500.000000,20.000000
-171.581360,-500.000000,20.000000
-169.581360,-500.000000,20.000000
-148.581360,-500.000000,20.000000
-146.581360,-500.000000,20.000000
-144.581360,-500.000000,20.000000
-123.581360,-500.000000,20.000000
-121.686268,-500.000000,20.000000
-121.581360,-500.000000,20.000000
-102.607025,-500.000000,20.000000
-98.686268,-500.000000,20.000000
-98.581360,-500.000000,20.000000
-86.707656,-500.000000,20.000000
-79.607025,-500.000000,20.000000
-75.686268,-500.000000,20.000000
-73.458181,-500.000000,20.000000
-63.707656,-500.000000,20.000000
-62.416952,-500.000000,20.000000
-56.607025,-500.000000,20.000000
-53.215928,-500.000000,20.000000
-50.458181,-500.000000,20.000000
-45.548408,-500.000000,20.000000
-40.707656,-500.000000,20.000000
-39.416952,-500.000000,20.000000
-39.158808,-500.000000,20.000000
-33.834142,-500.000000,20.000000
-30.215928,-500.000000,20.000000
-29.396919,-500.000000,20.000000
-27.458181,-500.000000,20.000000
-25.699234,-500.000000,20.000000
-22.617830,-500.000000,20.000000
-22.548408,-500.000000,20.000000
-20.049993,-500.000000,20.000000
-17.910129,-500.000000,20.000000
-16.416952,-500.000000,20.000000
-16.158808,-500.000000,20.000000
-16.126909,-500.000000,20.000000
-14.640892,-500.000000,20.000000
-13.402545,-500.000000,20.000000
-12.370589,-500.000000,20.000000
-11.510625,-500.000000,20.000000
-10.834142,-500.000000,20.000000
-10.793989,-500.000000,20.000000
-10.196792,-500.000000,20.000000
-9.699128,-500.000000,20.000000
-9.284408,-500.000000,20.000000
-8.938808,-500.000000,20.000000
-8.650808,-500.000000,20.000000
-8.410808,-500.000000,20.000000
-8.210808,-500.000000,20.000000
-8.010808,-500.000000,20.000000
-7.770808,-500.000000,20.000000
-7.482808,-500.000000,20.000000
-7.215928,-500.000000,20.000000
-7.137208,-500.000000,20.000000
-6.722488,-500.000000,20.000000
-6.396919,-500.000000,20.000000
-6.224824,-500.000000,20.000000
-5.627627,-500.000000,20.000000
-4.910991,-500.000000,20.000000
-4.051028,-500.000000,20.000000
-3.019072,-500.000000,20.000000
-2.699234,-500.000000,20.000000
-1.780725,-500.000000,20.000000
-0.294708,-500.000000,20.000000
0.382170,-500.000000,20.000000
0.451592,-500.000000,20.000000
1.488512,-500.000000,20.000000
2.950007,-500.000000,20.000000
3.628376,-500.000000,20.000000
5.089871,-500.000000,20.000000
6.196213,-500.000000,20.000000
6.841192,-500.000000,20.000000
6.873091,-500.000000,20.000000
8.359108,-500.000000,20.000000
9.277618,-500.000000,20.000000
9.597455,-500.000000,20.000000
10.629411,-500.000000,20.000000
11.489375,-500.000000,20.000000
12.165858,-500.000000,20.000000
12.206011,-500.000000,20.000000
12.803208,-500.000000,20.000000
12.975303,-500.000000,20.000000
13.300872,-500.000000,20.000000
13.715592,-500.000000,20.000000
14.061192,-500.000000,20.000000
14.349192,-500.000000,20.000000
14.589192,-500.000000,20.000000
14.789192,-500.000000,20.000000
14.989192,-500.000000,20.000000
15.229192,-500.000000,20.000000
15.517192,-500.000000,20.000000
15.862792,-500.000000,20.000000
16.277512,-500.000000,20.000000
16.603081,-500.000000,20.000000
16.775176,-500.000000,20.000000
17.372373,-500.000000,20.000000
17.412525,-500.000000,20.000000
18.089009,-500.000000,20.000000
18.948972,-500.000000,20.000000
19.980928,-500.000000,20.000000
20.300766,-500.000000,20.000000
21.219275,-500.000000,20.000000
22.705292,-500.000000,20.000000
22.737192,-500.000000,20.000000
23.382170,-500.000000,20.000000
24.488512,-500.000000,20.000000
25.950007,-500.000000,20.000000
26.628376,-500.000000,20.000000
28.089871,-500.000000,20.000000
29.126792,-500.000000,20.000000
29.196213,-500.000000,20.000000
29.873091,-500.000000,20.000000
31.359108,-500.000000,20.000000
32.277618,-500.000000,20.000000
32.597455,-500.000000,20.000000
33.629411,-500.000000,20.000000
34.489375,-500.000000,20.000000
35.206011,-500.000000,20.000000
35.803208,-500.000000,20.000000
35.975303,-500.000000,20.000000
36.300872,-500.000000,20.000000
36.715592,-500.000000,20.000000
36.794312,-500.000000,20.000000
37.061192,-500.000000,20.000000
37.349192,-500.000000,20.000000
37.589192,-500.000000,20.000000
37.789192,-500.000000,20.000000
37.989192,-500.000000,20.000000
38.229192,-500.000000,20.000000
38.517192,-500.000000,20.000000
38.862792,-500.000000,20.000000
39.277512,-500.000000,20.000000
39.775176,-500.000000,20.000000
40.372373,-500.000000,20.000000
40.412525,-500.000000,20.000000
41.089009,-500.000000,20.000000
41.948972,-500.000000,20.000000
42.980928,-500.000000,20.000000
44.219275,-500.000000,20.000000
45.705292,-500.000000,20.000000
45.737192,-500.000000,20.000000
45.995336,-500.000000,20.000000
47.488512,-500.000000,20.000000
49.628376,-500.000000,20.000000
52.126792,-500.000000,20.000000
52.196213,-500.000000,20.000000
55.277618,-500.000000,20.000000
57.036564,-500.000000,20.000000
58.975303,-500.000000,20.000000
59.794312,-500.000000,20.000000
63.412525,-500.000000,20.000000
